Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks,CoordinatesDecimal,Distance,Source
,ES,FOT,Fortia,Fortia,GI,RL,--3-----,1207,,4214N 00303E,,"42.23333,3.05000",1,UN/LOCODE
,ES,FP7,Fompedraza,Fompedraza,VA,RL,--3-----,1307,,4132N 00408W,,"41.53333,-4.13333",1,UN/LOCODE
,ES,FPL,Fuente Palmera,Fuente Palmera,CO,RL,--3-----,1001,,3742N 00506W,,"37.70000,-5.10000",1,UN/LOCODE
,ES,FQV,Les Franqueses del Vallès,Les Franqueses del Valles,,RL,-23-----,0701,,4138N 00218E,,"41.63333,2.30000",2,UN/LOCODE
,ES,FR5,Fonalleras,Fonalleras,GI,AA,-----6--,1607,,4201N 00303E,,"42.01667,3.05000",N/A (no Nominatim),UN/LOCODE
,ES,FR7,Manzaneda,Manzaneda,OR,RL,--3-----,1307,,4219N 00714W,,"42.31667,-7.23333",5,UN/LOCODE
,ES,FRA,Frades,Frades,C,RL,1-------,1001,,4303N 00817W,,"43.05000,-8.28333",0,UN/LOCODE
,ES,FRC,Soutelo de Montes (Forcarey),Soutelo de Montes (Forcarey),PO,RL,--3-----,1001,,4236N 00821W,,"42.60000,-8.35000",8,UN/LOCODE
,ES,FRD,Foronda,Foronda,VI,RL,--3-----,0501,,4254N 00243W,,"42.90000,-2.71667",1,UN/LOCODE
,ES,FRF,Friol,Friol,LU,RL,--3-----,1001,,4302N 00748W,,"43.0340365,-7.8036448",111,https://www.openstreetmap.org/relation/340422
,ES,FRG,Frigiliana,Frigiliana,MA,RL,--3-----,1307,,3647N 00354W,,"36.78333,-3.90000",1,UN/LOCODE
,ES,FRI,Font Rubí,Font Rubi,,RL,--3-----,0701,,4125N 00139E,,"41.41667,1.65000",0,UN/LOCODE
,ES,FRL,Frailes,Frailes,J,RL,--3-----,0907,,3729N 00350W,,"37.48333,-3.83333",1,UN/LOCODE
,ES,FRM,Fermoselle,Fermoselle,,RL,1-------,1001,,4119N 00623W,,"41.31667,-6.38333",1,UN/LOCODE
,ES,FRO,Ferrol,Ferrol,C,AI,123-----,1301,,4329N 00815W,,"43.48333,-8.25000",1,UN/LOCODE
,ES,FRQ,Villa de Don Fadrique,Villa de Don Fadrique,TO,RL,--3-----,1001,,3937N 00312W,,"39.61667,-3.20000",2,UN/LOCODE
,ES,FRR,Ferreira de Panton,Ferreira de Panton,LU,RL,--3-----,1001,,4231N 00737W,,"42.51667,-7.61667",1,UN/LOCODE
,ES,FRS,Figueruelas,Figueruelas,,RL,--3-----,0607,,4146N 00110W,,"41.76667,-1.16667",1,UN/LOCODE
,ES,FRT,Rocafort,Rocafort,V,RL,-23-----,1001,,3932N 00024W,,"39.53333,-0.40000",1,UN/LOCODE
,ES,FRV,Fresno El Viejo,Fresno El Viejo,VA,RL,--3-----,1001,,4112N 00509W,,"41.20000,-5.15000",1,UN/LOCODE
,ES,FS8,Fresno de Torote,Fresno de Torote,M,RL,--3-----,1707,,4035N 00325W,,"40.58333,-3.41667",1,UN/LOCODE
,ES,FS9,Fuensaldaña,Fuensaldana,VA,RL,--3-----,1307,,4142N 00446W,,"41.70000,-4.76667",1,UN/LOCODE
